Focus area: 24-Respiratory Diseases - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 data,1998 raw value,1998 se,1999  data,1999  raw value,1999  se,2000  data,2000  raw value,2000  se,2001  data,2001  raw value,2001  se,2002  data,2002  raw value,2002  se,2003  data,2003  raw value,2003  se,2004  data,2004  raw value,2004  se,2005  data,2005  raw value,2005  se,2006  data,2006  raw value,2006  se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-1a Deaths from asthma - Children (per million population, aged under 5 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,108.4,76.7,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,3.1,3.1,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,2.4,2.4,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,5.4,5.4,DSU,.,.,DSU,.,.,DSU,4.6,4.6,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,4.4,4.4,DSU,.,.,DSU,.,.,DSU,.,.,DSU,4.0,4.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,63.1,63.1,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,5.4,5.4,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 Female,---,.,.,DSU,5.4,5.4,DSU,.,.,DSU,.,.,DSU,.,.,DSU,4.7,4.7,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 Male,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,4.5,4.5,DSU,.,.,DSU,.,.,DSU,4.1,4.1,---,.,.,---,.,.
              STATE:Arkansas,---,.,.,DSU,.,.,DSU,16.5,9.5,DSU,5.5,5.5,DSU,.,.,DSU,.,.,DSU,.,.,DSU,10.7,7.5,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,25.8,25.8,DSU,25.4,25.4,DSU,.,.,DSU,.,.,DSU,.,.,DSU,51.7,36.6,DSU,.,.,---,.,.,---,.,.
