Focus area: 24-Respiratory Diseases - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 data,1998 raw value,1998 se,1999  data,1999  raw value,1999  se,2000  data,2000  raw value,2000  se,2001  data,2001  raw value,2001  se,2002  data,2002  raw value,2002  se,2003  data,2003  raw value,2003  se,2004  data,2004  raw value,2004  se,2005  data,2005  raw value,2005  se,2006  data,2006  raw value,2006  se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-1a Deaths from asthma - Children (per million population, aged under 5 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 White,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,16.9,16.9,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,37.4,26.5,DSU,.,.,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,19.7,19.7,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,44.6,31.6,DSU,.,.,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,34.1,34.1,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,30.5,30.5,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,33.6,33.6,DSU,.,.,---,.,.,---,.,.,---,.,.
              STATE:Florida,---,.,.,DSU,1.5,0.8,DSU,2.4,1.1,DSU,1.9,0.9,DSU,2.3,1.0,DSU,4.5,1.4,DSU,1.4,0.8,DSU,0.9,0.6,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,4.2,3.0,DSU,8.4,4.2,DSU,6.1,3.5,DSU,6.0,3.5,DSU,9.9,4.4,DSU,2.0,2.0,DSU,2.0,2.0,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,0.6,0.6,DSU,0.6,0.6,DSU,0.6,0.6,DSU,1.2,0.9,DSU,3.1,1.4,DSU,1.2,0.9,DSU,0.6,0.6,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,1.8,1.0,DSU,2.9,1.3,DSU,2.3,1.2,DSU,2.8,1.3,DSU,5.7,1.8,DSU,1.7,1.0,DSU,1.1,0.8,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,4.4,3.1,DSU,8.8,4.4,DSU,6.4,3.7,DSU,6.3,3.6,DSU,10.4,4.6,DSU,2.1,2.1,DSU,2.1,2.1,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,0.8,0.8,DSU,0.8,0.8,DSU,0.8,0.8,DSU,1.6,1.2,DSU,4.1,1.8,DSU,1.6,1.2,DSU,0.8,0.8,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,1.0,1.0,DSU,2.0,1.4,DSU,1.0,1.0,DSU,1.9,1.3,DSU,2.8,1.6,DSU,0.9,0.9,DSU,0.9,0.9,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,1.9,1.3,DSU,2.8,1.6,DSU,2.7,1.6,DSU,2.7,1.5,DSU,6.2,2.3,DSU,1.8,1.2,DSU,0.9,0.9,---,.,.,---,.,.,---,.,.
              STATE:Georgia,---,.,.,DSU,3.3,1.7,DSU,0.8,0.8,DSU,1.6,1.1,DSU,4.0,1.8,DSU,1.6,1.1,DSU,0.8,0.8,DSU,0.8,0.8,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,6.9,4.0,DSU,2.3,2.3,DSU,4.5,3.2,DSU,4.5,3.2,DSU,4.5,3.2,DSU,2.2,2.2,DSU,2.2,2.2,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,1.4,1.4,DSU,0.0,0.0,DSU,0.0,0.0,DSU,3.9,2.2,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,3.5,1.8,DSU,0.9,0.9,DSU,1.7,1.2,DSU,4.3,1.9,DSU,1.7,1.2,DSU,0.8,0.8,DSU,0.9,0.9,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,7.0,4.1,DSU,2.3,2.3,DSU,4.6,3.2,DSU,4.6,3.2,DSU,4.5,3.2,DSU,2.2,2.2,DSU,2.2,2.2,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,1.5,1.5,DSU,0.0,0.0,DSU,0.0,0.0,DSU,4.3,2.5,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,3.3,2.3,DSU,0.0,0.0,DSU,0.0,0.0,DSU,1.6,1.6,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,6.5,3.3,DSU,1.6,1.6,DSU,3.1,2.2,DSU,4.7,2.7,DSU,3.1,2.2,DSU,1.5,1.5,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
              STATE:Hawaii,---,.,.,DSU,.,.,DSU,5.9,5.9,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,8.4,8.4,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,6.7,6.7,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,12.3,12.3,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.,---,.,.
              STATE:Idaho,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,4.9,4.9,DSU,.,.,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,5.1,5.1,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,5.6,5.6,DSU,.,.,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,5.9,5.9,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,9.5,9.5,DSU,.,.,---,.,.,---,.,.,---,.,.
              STATE:Illinois,---,.,.,DSU,6.0,1.8,DSU,9.3,2.2,DSU,4.9,1.6,DSU,6.5,1.9,DSU,2.8,1.2,DSU,3.3,1.4,DSU,3.9,1.5,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,13.7,6.1,DSU,32.4,9.4,DSU,16.2,6.6,DSU,24.5,8.2,DSU,8.3,4.8,DSU,14.0,6.2,DSU,17.1,7.0,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,4.3,1.8,DSU,3.6,1.6,DSU,2.1,1.2,DSU,2.2,1.2,DSU,1.5,1.0,DSU,0.7,0.7,DSU,0.7,0.7,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,10.7,6.2,DSU,10.2,5.9,DSU,3.2,3.2,DSU,3.1,3.1,DSU,0.0,0.0,DSU,3.0,3.0,DSU,2.9,2.9,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,5.2,1.8,DSU,9.1,2.4,DSU,4.6,1.7,DSU,6.6,2.1,DSU,3.4,1.5,DSU,3.4,1.5,DSU,4.1,1.7,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,14.0,6.3,DSU,33.2,9.6,DSU,13.9,6.2,DSU,22.4,7.9,DSU,8.5,4.9,DSU,14.4,6.4,DSU,17.7,7.2,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,2.7,1.5,DSU,1.8,1.3,DSU,1.8,1.3,DSU,1.8,1.3,DSU,1.9,1.3,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,4.5,2.2,DSU,6.7,2.7,DSU,3.3,1.9,DSU,6.7,2.7,DSU,2.3,1.6,DSU,3.4,2.0,DSU,1.1,1.1,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,7.5,2.8,DSU,11.7,3.5,DSU,6.4,2.6,DSU,6.4,2.6,DSU,3.2,1.9,DSU,3.2,1.9,DSU,6.5,2.7,---,.,.,---,.,.,---,.,.
              STATE:Indiana,---,.,.,DSU,4.5,2.3,DSU,4.5,2.3,DSU,.,.,DSU,2.2,1.6,DSU,5.5,2.5,DSU,3.3,1.9,DSU,4.5,2.2,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,10.1,10.1,DSU,29.6,17.1,DSU,.,.,DSU,9.5,9.5,DSU,18.9,13.3,DSU,0.0,0.0,DSU,9.2,9.2,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,3.9,2.3,DSU,1.3,1.3,DSU,.,.,DSU,1.3,1.3,DSU,3.8,2.2,DSU,3.9,2.2,DSU,3.9,2.2,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,4.7,2.4,DSU,4.7,2.4,DSU,.,.,DSU,2.3,1.7,DSU,5.8,2.6,DSU,3.5,2.0,DSU,4.8,2.4,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,10.3,10.3,DSU,30.2,17.5,DSU,.,.,DSU,9.7,9.7,DSU,19.3,13.7,DSU,0.0,0.0,DSU,9.4,9.4,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,4.1,2.4,DSU,1.4,1.4,DSU,.,.,DSU,1.4,1.4,DSU,4.0,2.3,DSU,4.1,2.4,DSU,4.2,2.4,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,2.3,2.3,DSU,.,.,DSU,2.3,2.3,DSU,4.5,3.2,DSU,2.3,2.3,DSU,4.6,3.2,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,8.9,4.4,DSU,6.6,3.8,DSU,.,.,DSU,2.2,2.2,DSU,6.5,3.7,DSU,4.3,3.1,DSU,4.4,3.1,---,.,.,---,.,.,---,.,.
              STATE:Iowa,---,.,.,DSU,2.4,2.4,DSU,7.3,4.2,DSU,7.5,4.3,DSU,2.6,2.6,DSU,2.6,2.6,DSU,.,.,DSU,5.5,3.9,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,535.3,535.2,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,129.0,91.2,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,2.6,2.6,DSU,2.6,2.6,DSU,8.0,4.6,DSU,2.7,2.7,DSU,2.8,2.8,DSU,.,.,DSU,2.9,2.9,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,2.5,2.5,DSU,7.6,4.4,DSU,7.9,4.5,DSU,2.7,2.7,DSU,2.7,2.7,DSU,.,.,DSU,5.8,4.1,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,133.8,94.6,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,2.7,2.7,DSU,2.7,2.7,DSU,8.4,4.8,DSU,2.9,2.9,DSU,2.9,2.9,DSU,.,.,DSU,3.1,3.1,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,5.0,5.0,DSU,9.9,7.0,DSU,10.3,7.3,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,5.6,5.6,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,0.0,0.0,DSU,4.7,4.7,DSU,4.9,4.9,DSU,5.0,5.0,DSU,5.0,5.0,DSU,.,.,DSU,5.3,5.3,---,.,.,---,.,.,---,.,.
              STATE:Kansas,---,.,.,DSU,5.0,3.5,DSU,2.5,2.5,DSU,2.6,2.6,DSU,2.6,2.6,DSU,.,.,DSU,.,.,DSU,2.7,2.7,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,29.6,29.6,DSU,.,.,DSU,.,.,DSU,31.5,31.5,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,5.6,4.0,DSU,2.8,2.8,DSU,2.9,2.9,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,5.5,3.9,DSU,2.8,2.8,DSU,2.8,2.8,DSU,2.9,2.9,DSU,.,.,DSU,.,.,DSU,3.1,3.1,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,31.2,31.2,DSU,.,.,DSU,.,.,DSU,33.5,33.5,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,6.2,4.4,DSU,3.2,3.2,DSU,3.3,3.3,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,5.2,5.2,DSU,5.2,5.2,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,9.7,6.9,DSU,0.0,0.0,DSU,0.0,0.0,DSU,5.0,5.0,DSU,.,.,DSU,.,.,DSU,5.3,5.3,---,.,.,---,.,.,---,.,.
              STATE:Kentucky,---,.,.,DSU,5.4,3.1,DSU,5.4,3.1,DSU,3.7,2.6,DSU,3.9,2.7,DSU,.,.,DSU,1.8,1.8,DSU,3.7,2.6,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,36.8,26.0,DSU,0.0,0.0,DSU,19.1,19.1,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,6.0,3.5,DSU,2.0,2.0,DSU,4.2,3.0,DSU,2.2,2.2,DSU,.,.,DSU,2.1,2.1,DSU,4.2,2.9,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,5.5,3.1,DSU,5.5,3.2,DSU,3.8,2.7,DSU,3.9,2.8,DSU,.,.,DSU,1.9,1.9,DSU,3.8,2.7,---,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,37.3,26.4,DSU,0.0,0.0,DSU,19.4,19.4,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,6.1,3.5,DSU,2.0,2.0,DSU,4.3,3.0,DSU,2.2,2.2,DSU,.,.,DSU,2.1,2.1,DSU,4.3,3.0,---,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,7.4,5.2,DSU,7.7,5.4,DSU,4.0,4.0,DSU,.,.,DSU,0.0,0.0,DSU,3.8,3.8,---,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,10.4,6.0,DSU,3.5,3.5,DSU,0.0,0.0,DSU,3.8,3.8,DSU,.,.,DSU,3.6,3.6,DSU,3.6,3.6,---,.,.,---,.,.,---,.,.
              STATE:Louisiana,---,.,.,DSU,1.5,1.5,DSU,2.9,2.1,DSU,.,.,DSU,6.1,3.1,DSU,3.1,2.2,DSU,1.6,1.6,DSU,.,.,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.,---,.,.
